latitude (deg)	longitude (deg)	altitude (m)
41.56836369	2.255051212	133.3
41.56835028	2.255069056	133.3
41.56833406	2.255085037	133.3
41.56832183	2.255112602	133.4
41.5683073	2.255133298	133.4
41.56828964	2.25516146	133.5
41.56827616	2.255177742	133.5
41.5682573	2.255201462	133.5
41.56823959	2.255216686	133.5
41.56822806	2.255236772	133.5
41.56820993	2.255245552	133.5
41.56819201	2.255267054	133.5
41.56816479	2.255282117	133.4
41.56815018	2.255299332	133.4
41.56812453	2.255318295	133.4
41.56810425	2.255332751	133.3
41.56807915	2.255348836	133.3
41.56805791	2.255363004	133.3
41.56803715	2.255379122	133.4
41.56801293	2.255386957	133.4
41.56798393	2.255398047	133.4
41.56796456	2.25540241	133.4
41.56794574	2.255413379	133.5
41.56792568	2.255415381	133.5
41.56790592	2.255423275	133.5
41.56788655	2.255424687	133.5
41.56786941	2.255434683	133.6
41.56784231	2.255439388	133.6
41.56781919	2.25543792	133.6
41.56779065	2.255440736	133.6
41.56776089	2.255448886	133.6
41.56773855	2.255449774	133.6
41.56770916	2.255452282	133.6
41.56767365	2.255452583	133.6
41.56765291	2.255455977	133.6
41.56762199	2.255453019	133.6
41.56760065	2.255450684	133.6
41.56756878	2.255447454	133.6
41.5675354	2.255439253	133.6
41.5675028	2.255433616	133.6
41.56746781	2.255422491	133.5
41.56743339	2.255412172	133.5
41.56739123	2.25540094	133.4
41.56735188	2.255377202	133.4
41.56729291	2.255359187	133.3
41.56725767	2.255332798	133.2
41.56721691	2.255318909	133.1
41.56718848	2.255301407	133.1
41.56714996	2.255270695	133
41.5670978	2.255232352	133
41.56707065	2.255208568	133
41.56704841	2.255186751	133
41.5670256	2.255167731	133
41.56700071	2.255149898	133
41.56697323	2.255126533	133
41.56694714	2.255104553	133
41.56691677	2.255079581	132.9
41.56689233	2.255059	132.8
41.5668663	2.255038286	132.7
41.56683879	2.255011851	132.6
41.56680783	2.254983818	132.5
41.5667618	2.254952631	132.3
41.56674618	2.254935056	132.3
41.56672501	2.254914781	132.2
41.56669933	2.254892937	132.1
41.56667121	2.254868279	132
41.56664637	2.254850296	131.9
41.56662374	2.254827728	131.8
41.56659893	2.254807771	131.8
41.56657149	2.254784178	131.7
41.56654218	2.254763121	131.6
41.56651414	2.254741134	131.5
41.56648398	2.254711081	131.4
41.56645305	2.254685472	131.3
41.56642	2.254655106	131.2
41.56638492	2.254628931	131
41.56634691	2.254591889	130.9
41.56629578	2.254551222	130.9
41.56624398	2.254508561	130.9
41.56619952	2.254470801	130.9
41.56615781	2.25443076	131
41.56608118	2.2543664	130.7
41.56603999	2.254338494	130.3
41.56601626	2.254313971	130.1
41.56598934	2.254293193	129.9
41.56596473	2.254271944	129.7
41.56593644	2.254246289	129.6
41.5659127	2.254225822	129.4
41.56588579	2.254203561	129.3
41.56586443	2.2541836	129.2
41.56583121	2.254158871	129
41.56580389	2.254132798	128.9
41.56577834	2.254112345	128.8
41.56575671	2.254094983	128.7
41.56572905	2.254077123	128.6
41.56570417	2.254063294	128.4
41.56567823	2.254053151	128.3
41.5656473	2.254050577	128.1
41.5656262	2.254048093	127.9
41.56562559	2.254047724	127.9
41.56561511	2.254043951	127.9
41.56559941	2.254049855	127.7
41.56558912	2.254050267	127.7
41.56557058	2.25405617	127.5
41.56555705	2.254056739	127.4
41.56553968	2.2540609	127.4
41.5655278	2.254069726	127.3
41.56551174	2.254078221	127.3
41.56549995	2.254087163	127.3
41.56548587	2.254096111	127.3
41.56547589	2.254109305	127.2
41.56546447	2.254122205	127.2
41.56545397	2.254135074	127.1
41.56544543	2.254145395	127.1
41.56543171	2.25416129	127
41.56542595	2.254177279	126.9
41.56541757	2.254191152	126.9
41.5654107	2.254209945	126.8
41.56540041	2.254219361	126.7
41.56539137	2.25423799	126.6
41.56537914	2.254254639	126.6
41.56537751	2.254273044	126.5
41.56537395	2.254288323	126.4
41.56537009	2.254306912	126.3
41.56536797	2.254323236	126.3
41.56536276	2.25434151	126.2
41.56536074	2.254355042	126.1
41.56535903	2.254374773	126
41.56535961	2.254392089	125.9
41.56535664	2.254409139	125.9
41.56535871	2.254421527	125.8
41.5653601	2.254435332	125.7
41.56535877	2.254446489	125.7
41.56536041	2.254458559	125.6
41.56536106	2.254467705	125.6
41.56536159	2.254481554	125.5
41.56536295	2.254494336	125.4
41.5653659	2.254508614	125.3
41.56536746	2.254518525	125.2
41.56537019	2.254529983	125.2
41.56537777	2.254540932	125.1
41.56538211	2.254554984	125
41.56539264	2.254583103	124.8
41.5654029	2.254611003	124.6
41.56540977	2.254635434	124.5
41.56541844	2.254659867	124.3
41.5654275	2.254684402	124.2
41.56543515	2.254709817	124.1
41.56544268	2.254737056	123.9
41.56545076	2.254763006	123.8
41.56546039	2.254787234	123.6
41.56546741	2.254808442	123.5
41.56547463	2.254826127	123.4
41.56547651	2.254842792	123.3
41.56548645	2.25486722	123.1
41.56549201	2.254882249	123
41.56549835	2.254898211	122.9
41.56550424	2.254919378	122.7
41.56550929	2.254932937	122.6
41.56551401	2.254948551	122.5
41.56551857	2.254961307	122.4
41.56552149	2.254976977	122.3
41.56552955	2.254991863	122.1
41.56553443	2.255011441	122
41.56554096	2.255028892	121.9
41.56554634	2.255041809	121.9
41.56555006	2.255051434	121.8
41.56555749	2.255081501	121.7
41.5655689	2.255114954	121.8
41.56558265	2.255153714	121.8
41.56559627	2.255190287	121.7
41.56560804	2.255227982	121.7
41.56562295	2.255266253	121.6
41.5656354	2.255305067	121.4
41.56564596	2.255334519	121.2
41.56565407	2.255356465	121.1
41.56566207	2.255377918	121
41.56566741	2.255399184	120.8
41.56567453	2.255424466	120.7
41.56568357	2.255449853	120.4
41.56569527	2.255481071	120.2
41.56570662	2.255506929	119.9
41.56571094	2.255528508	119.7
41.56571884	2.255546014	119.5
41.56572474	2.255569687	119.3
41.56572742	2.255590808	119.3
41.56573553	2.25560764	119.2
41.56574372	2.255628219	119.1
41.56574879	2.255647778	119
41.56575703	2.255666649	118.9
41.5657623	2.255682309	118.8
41.56576899	2.255702928	118.7
41.5657753	2.255721806	118.6
41.56578079	2.255739527	118.5
41.56578838	2.25576261	118.4
41.56579568	2.255784656	118.3
41.56580327	2.255806801	118.2
41.56581159	2.255827617	118.1
41.56581936	2.255849587	118
41.5658258	2.255869646	117.9
41.56583032	2.255889105	117.8
41.56583459	2.255906475	117.8
41.56584221	2.255924443	117.8
41.56584928	2.25594114	117.8
41.56585406	2.255956858	117.8
41.56586016	2.25597043	117.8
41.5658638	2.255985389	117.8
41.56586844	2.255996892	117.8
41.56589475	2.25606891	117.7
41.56590253	2.256086313	117.7
41.56590811	2.256106484	117.6
41.56591707	2.256123404	117.6
41.56592211	2.256134766	117.6
41.56592516	2.256150098	117.5
41.56592801	2.256157888	117.5
41.56593496	2.256169683	117.5
41.56593972	2.256182702	117.5
41.56596175	2.256231044	117.3
41.56597748	2.256267018	117.2
41.56598948	2.25629853	117
41.56600952	2.25633878	116.7
41.5660287	2.256377022	116.4
41.56604714	2.256409204	116.2
41.56606546	2.256448327	116
41.56608475	2.256475332	115.8
41.56610298	2.256507011	115.6
41.56611444	2.256531344	115.5
41.56613256	2.256557168	115.6
41.56614311	2.256575314	115.6
41.56615459	2.25659821	115.6
41.56617061	2.256618735	115.5
41.56618065	2.256635069	115.5
41.56619221	2.256656627	115.4
41.56620438	2.256675746	115.3
41.56621429	2.256687458	115.3
41.56622586	2.256702944	115.4
41.56623866	2.256718263	115.4
41.56624786	2.256732183	115.4
41.5662739	2.256763171	115.4
41.5662934	2.256796775	115.3
41.56631942	2.256828461	115.3
41.56634071	2.256852943	115.3
41.56636654	2.256884315	115.2
41.56639576	2.25692051	115.1
41.56642034	2.256943837	115
41.56644475	2.256971372	115
41.56646172	2.256991157	115
41.56648517	2.257013215	115
41.56650249	2.257028222	115
41.56651483	2.257041592	115
41.56654354	2.257066004	115
41.56656994	2.257092857	115
41.5665925	2.257111761	115
41.56661571	2.257131882	115
41.56663886	2.257150666	115
41.56666069	2.257170981	115
41.56668248	2.257189915	115.1
41.56670285	2.25720576	115.2
41.56674112	2.257240439	115.2
41.56677852	2.257274941	115.3
41.56681042	2.257297519	115.4
41.56683665	2.257319885	115.4
41.56685829	2.257340226	115.4
41.56688344	2.257362159	115.4
41.56690316	2.257378293	115.4
41.56692407	2.257397126	115.3
41.56694283	2.257413815	115.3
41.56695805	2.257427361	115.3
41.56697167	2.25743872	115.3
41.56699283	2.257457524	115.2
41.56700921	2.257470156	115.2
41.56702516	2.257483631	115.1
41.56703863	2.257496291	115
41.56705288	2.257507782	115
41.56706255	2.257515365	115.1
41.56707092	2.257523227	115.1
41.56707775	2.257527993	115.1
41.5670864	2.257535439	115.1
41.5670946	2.257541724	115.2
41.5671015	2.257548701	115.2
41.56712682	2.25756913	115.2
41.56713908	2.257579733	115.3
41.56715652	2.257593451	115.3
41.56716922	2.257606262	115.4
41.56718529	2.257619498	115.4
41.56719494	2.257626502	115.5
41.56720349	2.25763363	115.5
41.56721212	2.257641286	115.5
41.56722201	2.257649807	115.5
41.56723367	2.25765989	115.6
41.5672429	2.257665371	115.7
41.56725366	2.25767596	115.8
41.56726513	2.257682207	115.9
41.56727643	2.257691325	115.9
41.56728462	2.257696571	116
41.567293	2.257700519	116
41.56730216	2.257704952	116.1
41.56731167	2.257710134	116.2
41.56732273	2.257714003	116.2
41.56733207	2.257717806	116.3
41.56734047	2.257719906	116.3
41.56735225	2.257722671	116.4
41.56736163	2.2577246	116.4
41.56736894	2.257725458	116.4
41.56737723	2.257726855	116.5
41.56738521	2.257726296	116.5
41.56739252	2.257727244	116.5
41.56740055	2.257727776	116.6
41.56740858	2.257728653	116.6
41.56741645	2.257726558	116.6
41.56742631	2.257725657	116.7
41.56743712	2.257723304	116.7
41.56744518	2.257722145	116.8
41.56745482	2.257721541	116.8
41.56746491	2.257718563	116.8
41.56747294	2.257716762	116.9
41.56748022	2.257713745	116.9
41.56748694	2.257711991	116.9
41.56749264	2.257708982	117
41.56749935	2.257707134	117
41.56750424	2.257704775	117
41.56751152	2.257701497	117.1
41.56751696	2.257697741	117.1
41.56752183	2.257695126	117.1
41.56752493	2.257693029	117.2
41.56753171	2.257690162	117.2
41.56753718	2.25768689	117.2
41.5675421	2.257684138	117.3
41.56754558	2.257680829	117.3
41.56755504	2.25767623	117.3
41.567561	2.257671245	117.4
41.56756679	2.257666345	117.4
41.5675719	2.257662344	117.4
41.56757683	2.257657891	117.4
41.56758265	2.257654094	117.5
41.56758653	2.25765056	117.5
41.56759442	2.25764418	117.5
41.56760054	2.257638107	117.5
41.56760502	2.257631362	117.6
41.5676119	2.257624291	117.6
41.56761841	2.257619091	117.6
41.56762326	2.257611046	117.6
41.56762881	2.257602837	117.6
41.56763367	2.257595438	117.6
41.56763892	2.257588691	117.7
41.56764484	2.257580538	117.7
41.56765151	2.257571537	117.7
41.5676564	2.257561249	117.7
41.56766123	2.257552353	117.7
41.56766794	2.257541614	117.7
41.56767178	2.257526777	117.7
41.56767847	2.257514257	117.7
41.56768443	2.257498362	117.7
41.56769401	2.257473631	117.9
41.56770849	2.257448364	118
41.5677199	2.257421794	118.2
41.56773417	2.257392272	118.4
41.56774291	2.257368012	118.5
41.56775716	2.257335931	118.6
41.56776847	2.257312246	118.7
41.56778077	2.257285743	118.8
41.56779362	2.257258151	118.9
41.56780486	2.257234653	119.1
41.56781655	2.257214979	119.2
41.56782977	2.257192228	119.5
41.56784089	2.257172639	119.7
41.56785038	2.257155799	119.9
41.56785999	2.257134848	120.1
41.56787346	2.257115537	120.4
41.56788374	2.257097778	120.6
41.56790127	2.257074825	120.8
41.56791717	2.257052115	121
41.56792855	2.257036746	121.2
41.56794428	2.257022085	121.3
41.5679557	2.257003103	121.5
41.56797027	2.256985461	121.7
41.5679875	2.256967098	121.8
41.56800675	2.256950979	121.9
41.56802416	2.256935717	122
41.56803826	2.256917673	122.1
41.56805816	2.256902957	122.2
41.56807158	2.256887407	122.3
41.56807197	2.256886228	122.3
41.56808451	2.256873497	122.4
41.56810307	2.256863287	122.5
41.56811584	2.256854529	122.5
41.56813429	2.256846449	122.6
41.56815264	2.256832143	122.8
41.56817408	2.256816	122.9
41.56819558	2.256802831	123
41.56821837	2.256792945	123.1
41.56823752	2.256781619	123.2
41.56825821	2.256769579	123.4
41.56828501	2.256755676	123.5
41.56829804	2.256747091	123.6
41.56832072	2.256735345	123.7
41.56834613	2.256722596	123.8
41.5683674	2.256714377	124
41.56838228	2.256702903	124
41.56839455	2.256695841	124.1
41.56840881	2.25668871	124.2
41.56842429	2.256680059	124.3
41.56843485	2.25667161	124.3
41.5684486	2.256666997	124.4
41.56846408	2.256657106	124.5
41.5684642	2.256656745	124.5
41.56847812	2.256649461	124.6
41.56848776	2.256643212	124.6
41.5684962	2.256638661	124.7
41.56850634	2.256632754	124.7
41.56851504	2.25662951	124.8
41.56852588	2.25662269	124.9
41.56853639	2.256615091	124.9
41.56854945	2.25660814	125
41.56856288	2.256601535	125.1
41.56857322	2.256596273	125.1
41.5685847	2.256589382	125.2
41.56859769	2.2565815	125.3
41.56860736	2.256578041	125.3
41.56861507	2.256572602	125.4
41.5686248	2.256567714	125.5
41.56863859	2.256559493	125.6
41.56863897	2.256559132	125.6
41.56864952	2.25655356	125.7
41.56866992	2.256542658	125.9
41.56869545	2.256528071	126.1
41.56871685	2.256516479	126.3
41.56873843	2.256503797	126.5
41.56875912	2.256489932	126.7
41.56877262	2.256480341	126.8
41.56879249	2.256470023	127
41.56880923	2.256462571	127.2
41.56882379	2.256452355	127.3
41.56884411	2.256441925	127.5
41.56886168	2.256431578	127.7
41.56887735	2.256421903	127.8
41.5688899	2.256413405	127.9
41.56894064	2.256385566	128.2
41.56896252	2.25637538	128.3
41.56898023	2.256364658	128.4
41.56900061	2.256351506	128.5
41.56902631	2.256340224	128.7
41.56904966	2.256325112	128.8
41.56906893	2.25631451	128.9
41.56908548	2.256305861	129
41.56910257	2.256297247	129.1
41.56912594	2.256283599	129.2
41.56914846	2.256268845	129.4
41.56917011	2.256258203	129.5
41.56917141	2.256257486	129.5
41.56918734	2.256246551	129.7
41.56920895	2.256234389	129.9
41.56922471	2.256225423	130
41.56924419	2.256215998	130.2
41.5692609	2.256207273	130.3
41.56928089	2.256193909	130.5
41.56930603	2.256181487	130.8
41.56932913	2.256167986	131
41.56935453	2.256155181	131.2
41.56936683	2.256143649	131.3
41.56938767	2.2561313	131.5
41.56940586	2.256122144	131.7
41.56942144	2.256113693	131.8
41.56943969	2.256101025	132.1
41.56945871	2.256093483	132.2
41.56947191	2.256084614	132.4
41.56948568	2.256078376	132.5
41.56949985	2.256065692	132.6
41.56951623	2.256060834	132.7
41.56951723	2.256060069	132.7
41.56952915	2.256052276	132.8
41.56954664	2.256041591	132.9
41.56956218	2.256031208	133
41.56958552	2.256017792	133.2
41.56960662	2.256005056	133.3
41.56962562	2.255990696	133.4
41.56964301	2.255985937	133.4
41.56966095	2.255975381	133.5
41.56967698	2.255965619	133.5
41.56969324	2.255958504	133.6
41.56970969	2.255951401	133.6
41.5697228	2.255945049	133.6
41.56973907	2.255938903	133.7
41.56975464	2.255935884	133.7
41.56976745	2.255930208	133.8
41.56978694	2.255925908	133.9
41.56980332	2.255919255	134
41.56982376	2.255915061	134.1
41.56984009	2.255910471	134.1
41.56985637	2.255908813	134.2
41.5698748	2.255906483	134.3
41.56989389	2.255904517	134.4
41.56991363	2.255902983	134.4
41.56993119	2.255901288	134.5
41.5699461	2.25590103	134.6
41.56996636	2.25590274	134.6
41.56998196	2.255902964	134.7
41.56999511	2.25590328	134.7
41.57000897	2.255905016	134.8
41.57002396	2.255907639	134.8
41.57003624	2.255909098	134.9
41.57004792	2.255910478	134.9
41.57006325	2.255912332	135
41.57007471	2.255915265	135.1
41.57008836	2.25591733	135.1
41.57009839	2.255919461	135.2
41.5701085	2.255921633	135.2
41.57011546	2.255925737	135.2
41.57013438	2.255928779	135.3
41.57015917	2.255936857	135.4
41.57017552	2.255942675	135.5
41.57019573	2.25594918	135.6
41.57021132	2.255956083	135.7
41.57022526	2.255962341	135.7
41.57023646	2.255966931	135.8
41.57024843	2.255973049	135.8
41.57025946	2.255980017	135.9
41.57027398	2.255987454	136
41.57028691	2.255994837	136
41.57029894	2.256002388	136.1
41.57030861	2.256007314	136.2
41.57031909	2.256014133	136.2
41.57032874	2.256020008	136.2
41.57034003	2.256028481	136.3
41.57035262	2.256036607	136.3
41.57036035	2.256042578	136.4
41.57036874	2.256049158	136.4
41.57037736	2.256056661	136.4
41.57038672	2.256062714	136.5
41.57039492	2.256069297	136.5
41.57040515	2.256078136	136.5
41.5704159	2.25608729	136.5
41.57042526	2.256094942	136.6
41.57043302	2.25610157	136.6
41.57044135	2.256108578	136.6
41.57045041	2.256116386	136.6
41.57045612	2.25612291	136.6
41.57046292	2.256127851	136.6
