latitude,longitude,altitude (m)
45.62615739,9.282024492,188.6
45.6262062,9.282025454,188.5
45.62624555,9.282027432,188.4
45.62627892,9.282031207,188.3
45.62631673,9.282036127,188.2
45.62635907,9.282040651,188.1
45.62639435,9.282043674,188
45.62642983,9.282048823,188
45.62646377,9.282052499,188
45.62649398,9.282054246,188
45.62652774,9.282058189,188
45.62656902,9.282064196,188
45.62661804,9.282069634,188
45.62666186,9.282075748,188
45.62671098,9.282081734,188
45.6267581,9.28208611,188
45.62681714,9.282091488,188
45.6268712,9.282098352,188
45.62692126,9.282106126,188
45.62696694,9.282110775,188
45.62701996,9.282116932,188
45.62707242,9.28212149,188
45.62712004,9.28212939,188
45.62717634,9.282135928,188
45.62723055,9.28214281,188
45.62728326,9.282148752,188.2
45.62734819,9.282153051,188.3
45.62741713,9.282164597,188.6
45.62748598,9.282172814,188.8
45.62754515,9.282185408,188.9
45.62760661,9.282199703,188.9
45.62765194,9.282216014,189
45.62770173,9.28222944,189
45.6277325,9.282242066,188.9
45.62776581,9.282250447,188.9
45.62780395,9.282264389,188.9
45.62784266,9.28227808,188.8
45.62788162,9.282297459,188.8
45.62791119,9.282309592,188.8
45.62794211,9.282324608,188.8
45.62797941,9.282343144,188.9
45.62801914,9.282361641,188.9
45.62805553,9.282379306,189
45.628106,9.282408893,189.1
45.62816979,9.282444853,189.3
45.62824673,9.28249154,189.7
45.62831806,9.282538621,189.7
45.62838881,9.282594625,189.3
45.62847034,9.282658706,188.9
45.62854777,9.28272362,188.9
45.62862281,9.282796745,189
45.62868901,9.282865851,189
45.6287669,9.282952001,189
45.62882917,9.283018899,189
45.62887649,9.28307222,189
45.62892289,9.283133931,189
45.62895846,9.283187438,189.1
45.62900516,9.283242552,189.3
45.6290371,9.28330623,189.5
45.6290797,9.28336545,189.6
45.62912339,9.283437268,189.5
45.62916987,9.283514542,189.4
45.6292199,9.283593604,189.2
45.62925776,9.283662421,189.5
45.6292948,9.283738743,189.7
45.62932774,9.283806009,189.9
45.62936062,9.283871821,190
45.62939164,9.283934892,190
45.62941858,9.283995274,190
45.62945155,9.28407434,190
45.6294768,9.284136396,190
45.62950328,9.284197127,190
45.62952506,9.284258463,190
45.62955042,9.284320654,190
45.62957768,9.284393067,190
45.62960048,9.284457887,190
45.62962053,9.28451212,190
45.62963592,9.284571167,190
45.62966259,9.284642503,190
45.629681,9.284706769,190
45.62972478,9.284855839,190
45.62977083,9.285030644,190
45.62981132,9.285210774,190
45.62984385,9.285339669,190
45.629865,9.285469305,190
45.62988452,9.285596953,190.1
45.62991025,9.285758462,190.2
45.6299246,9.285865808,190.3
45.62993495,9.285969852,190.2
45.62994454,9.286048396,190.2
45.62995141,9.286123091,190.2
45.62995426,9.286195221,190.2
45.62996463,9.286277548,190.1
45.62996921,9.286355998,190.1
45.62997567,9.286431854,190.1
45.62998102,9.286542073,190.1
45.62998436,9.286615024,190.1
45.62998871,9.286688327,190.1
45.62999078,9.286766408,190.4
45.62999776,9.286848969,190.7
45.63000228,9.286917137,190.9
45.6300043,9.286980563,191
45.63001281,9.287108329,191
45.63001843,9.2872092,191.1
45.63002394,9.287288444,191.1
45.63002823,9.287382204,191.1
