latitude,longitude,altitude (m)
45.63020528,9.29150286,191
45.63021836,9.291511239,191
45.63023267,9.291522322,191
45.63024738,9.291528771,191
45.63026201,9.291536601,191
45.63027748,9.291542431,191
45.63029352,9.291551603,191
45.63031244,9.291560968,191
45.63033495,9.291568698,191.1
45.63035772,9.291581495,191.1
45.63038397,9.291594765,191.1
45.63040864,9.291605373,191.1
45.63042701,9.291611548,191.1
45.63044247,9.291623436,191.1
45.63045436,9.291641252,191.1
45.63046537,9.291653616,191
45.63047908,9.291668707,191
45.63049132,9.291686074,191
45.63050419,9.291703679,191
45.63051511,9.291725799,191
45.63052401,9.291742006,191
45.63052968,9.291764581,191
45.63053285,9.291794168,191
45.63053184,9.291823603,191
45.63053757,9.291855862,191
45.63054233,9.291889008,191
45.63054777,9.291926103,191
45.63055443,9.29199726,191
45.63056554,9.292059128,191
45.63057552,9.292131274,191
45.63058702,9.292207231,191
45.63060292,9.292288702,190.8
45.63060963,9.292378678,190.5
45.63062558,9.292430706,190.4
45.63063663,9.292497478,190.3
45.63065256,9.292579901,190.3
45.63066833,9.2926566,190.4
45.63068796,9.292739062,190.5
45.63070166,9.292806232,190.5
45.63072082,9.292881587,190.4
45.63073933,9.292956572,190.2
45.63075341,9.293014957,190.1
45.63076871,9.293088818,190
45.63079009,9.293180328,190
45.63081277,9.293282819,190
45.63083235,9.293368017,190
45.63085215,9.293454897,190
45.63087672,9.293554443,190
45.63089682,9.293642314,190
45.63092022,9.293740185,190
45.63093864,9.293813499,190
45.63095689,9.293893658,190
45.63097222,9.293955386,190
45.6309913,9.2940294,190
45.63100478,9.294097156,190
45.63101912,9.294160225,190
45.63104009,9.294247414,189.9
45.63106114,9.294352924,189.9
45.63108149,9.294456953,189.9
45.63110106,9.294535246,190
45.63112914,9.294631727,190
45.63115328,9.294737408,190
45.63117595,9.29482686,189.7
45.63119766,9.294914661,189.5
45.63120501,9.29499469,189.4
45.631227,9.295090001,189.4
45.63124833,9.295184024,189.5
45.63127212,9.295235804,189.6
45.63127779,9.295259777,189.6
45.63128421,9.295285967,189.6
45.63128904,9.295313786,189.6
45.63129263,9.295339993,189.7
45.63129966,9.295369721,189.7
45.63130642,9.295399267,189.7
45.63131002,9.295434908,189.7
45.63131617,9.295465434,189.7
45.63132052,9.295499882,189.8
45.63132262,9.295530321,189.8
45.63132331,9.295565239,189.8
45.63132473,9.295597467,189.8
45.63132546,9.295632791,189.8
45.63132465,9.295662149,189.8
45.63132215,9.295685242,189.8
45.63131885,9.295711781,189.7
45.63131873,9.295739043,189.7
45.63131783,9.295762007,189.7
45.63131319,9.295786589,189.7
45.63131013,9.295811313,189.7
45.63129647,9.295832027,189.7
45.63130049,9.295877198,189.7
45.63129498,9.295906129,189.7
45.63129116,9.295932379,189.6
