type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.566948150	2.257586174	115.3			
T	41.566999138	2.257626468	115.5			
T	41.567032456	2.257658870	115.6			
T	41.567066167	2.257685371	115.7			
T	41.567104842	2.257718582	115.8			
T	41.567136629	2.257742106	115.9			
T	41.567168834	2.257764713	116.0			
T	41.567216786	2.257799825	116.1			
T	41.567270677	2.257826406	116.3			
T	41.567325231	2.257851978	116.6			
T	41.567363998	2.257864184	116.8			
T	41.567404206	2.257864251	117.0			
T	41.567436446	2.257860012	117.1			
T	41.567471436	2.257856246	117.2			
T	41.567501305	2.257838415	117.2			
T	41.567550298	2.257827136	117.5			
T	41.567578036	2.257801958	117.6			
T	41.567607587	2.257778736	117.8			
T	41.567644713	2.257743200	118.0			
T	41.567682261	2.257732078	118.2			
T	41.567703194	2.257694476	118.2			
T	41.567698832	2.257686851	118.2			
T	41.567729070	2.257659530	118.3			
T	41.567747521	2.257600278	118.2			
T	41.567776093	2.257548445	118.2			
T	41.567795548	2.257519155	118.2			
T	41.567813209	2.257489133	118.3			
T	41.567827576	2.257455696	118.5			
T	41.567844504	2.257418599	118.7			
T	41.567861920	2.257388503	118.9			
T	41.567877352	2.257357168	119.0			
T	41.567890012	2.257323664	119.2			
T	41.567911000	2.257291000	119.4			
T	41.567930580	2.257257476	119.5			
T	41.567945515	2.257220057	119.6			
T	41.567970478	2.257184447	120.0			
T	41.567992490	2.257156886	120.3			
T	41.568014015	2.257127898	120.6			
T	41.568037957	2.257097465	120.9			
T	41.568064079	2.257068609	121.2			
T	41.568096895	2.257048588	121.5			
T	41.568125928	2.257021956	121.8			
T	41.568160840	2.256996679	122.1			
T	41.568197421	2.256970395	122.4			
T	41.568223642	2.256944183	122.6			
T	41.568261537	2.256917667	122.8			
T	41.568308473	2.256888405	123.1			
T	41.568354493	2.256864031	123.4			
T	41.568404821	2.256834216	123.7			
T	41.568446498	2.256807065	123.9			
T	41.568483607	2.256784036	124.1			
T	41.568525864	2.256766816	124.3			
T	41.568564267	2.256742316	124.6			
T	41.568598969	2.256720575	124.8			
T	41.568643678	2.256703211	125.1			
T	41.568685912	2.256675325	125.5			
T	41.568730647	2.256652491	125.9			
T	41.568770792	2.256629298	126.3			
T	41.568807158	2.256610254	126.6			
T	41.568852039	2.256590595	127.0			
T	41.568895107	2.256567437	127.4			
T	41.568930654	2.256541727	127.8			
T	41.568927285	2.256535642	127.8			
T	41.568976436	2.256515915	128.1			
T	41.569016753	2.256489064	128.4			
T	41.569060218	2.256465380	128.7			
T	41.569101964	2.256447126	128.9			
T	41.569128777	2.256427327	129.0			
T	41.569167184	2.256402415	129.1			
T	41.569212492	2.256378936	129.4			
T	41.569277648	2.256341192	130.0			
T	41.569331776	2.256305950	130.5			
T	41.569381514	2.256286060	130.9			
T	41.569433109	2.256250176	131.4			
T	41.569482515	2.256222224	131.8			
T	41.569522220	2.256207314	132.0			
T	41.569558875	2.256178438	132.3			
T	41.569587837	2.256157514	132.4			
T	41.569616768	2.256135733	132.6			
T	41.569651490	2.256123332	132.7			
T	41.569685157	2.256113129	132.9			
T	41.569713527	2.256092257	133.0			
T	41.569750923	2.256084124	133.2			
T	41.569783863	2.256073989	133.4			
T	41.569807609	2.256054700	133.5			
T	41.569841608	2.256052686	133.6			
T	41.569873263	2.256047224	133.8			
T	41.569905143	2.256043175	133.9			
T	41.569929416	2.256037391	134.0			
T	41.569962899	2.256042274	134.1			
T	41.569993245	2.256041612	134.2			
T	41.570025652	2.256045523	134.4			
T	41.570049699	2.256042229	134.6			
T	41.570084339	2.256058350	134.7			
T	41.570108804	2.256062425	134.9			
T	41.570132909	2.256070532	135.0			
T	41.570173174	2.256082506	135.3			
T	41.570200667	2.256092170	135.5			
T	41.570225876	2.256110315	135.6			
T	41.570254576	2.256124657	135.8			
T	41.570282723	2.256139547	135.9			
T	41.570303746	2.256158128	135.9			
T	41.570328763	2.256175135	136.0			
T	41.570354386	2.256199086	136.0			
T	41.570386264	2.256230502	136.1			
T	41.570413801	2.256255794	136.2			
T	41.570434755	2.256282742	136.3			
T	41.570458225	2.256307192	136.4			
T	41.570476732	2.256329492	136.5			
T	41.570494425	2.256351481	136.6			
T	41.570512129	2.256377461	136.7			
T	41.570527492	2.256398448	136.8			
T	41.570553073	2.256443101	136.8			
T	41.570573469	2.256481659	136.7			
T	41.570594653	2.256520194	136.7			
T	41.570612071	2.256552818	136.6			
T	41.570626521	2.256580757	136.6			
T	41.570636682	2.256603177	136.5			
T	41.570646396	2.256625723	136.5			
T	41.570657278	2.256650865	136.4			
T	41.570668208	2.256676155	136.3			
T	41.570676993	2.256699232	136.1			
T	41.570685798	2.256723978	135.9			
T	41.570694854	2.256748739	135.8			
T	41.570703533	2.256770155	135.7			
T	41.570720665	2.256818449	135.5			
T	41.570739476	2.256869771	135.4			
T	41.570757465	2.256920772	135.5			
T	41.570780128	2.256972603	135.8			
T	41.570800099	2.257023299	136.0			
T	41.570820386	2.257076210	136.3			
T	41.570840747	2.257133544	136.3			
T	41.570856853	2.257174381	136.2			
T	41.570877230	2.257223539	136.1			
T	41.570892463	2.257270260	135.9			
T	41.570933338	2.257382026	135.4			
T	41.570993151	2.257529010	134.8			
T	41.571055566	2.257683582	134.7			
T	41.571099969	2.257798571	135.6			
T	41.571134458	2.257895727	135.6			
T	41.571160797	2.257972130	135.4			
T	41.571197710	2.258066769	135.2			
T	41.571234055	2.258152584	134.7			
T	41.571266448	2.258242591	134.4			
T	41.571303202	2.258327562	134.5			
T	41.571336525	2.258418621	134.5			
T	41.571353990	2.258472230	134.6			
T	41.571395499	2.258575427	135.1			
T	41.571444221	2.258706733	135.0			
T	41.571491050	2.258820886	135.0			
T	41.571536124	2.258944877	134.7			
T	41.571583670	2.259067726	134.4			
T	41.571623994	2.259174358	134.5			
T	41.571657917	2.259270517	134.8			
T	41.571690792	2.259358776	134.9			
T	41.571724366	2.259445438	134.8			
T	41.571754206	2.259526673	134.5			
T	41.571811716	2.259674586	134.1			
T	41.571866604	2.259813330	133.4			
T	41.571914501	2.259949385	133.4			
T	41.571965816	2.260064972	134.1			
T	41.572016309	2.260196611	134.0			
T	41.572054306	2.260300791	133.4			
T	41.572089587	2.260394109	132.5			
T	41.572118046	2.260464553	132.1			
T	41.572147555	2.260545681	132.0			
T	41.572174879	2.260627730	132.1			
T	41.572211141	2.260722890	132.7			
T	41.572285550	2.260913617	132.3			
T	41.572342017	2.261068067	131.6			
T	41.572404190	2.261231960	130.6			
T	41.572461135	2.261379448	130.9			
T	41.572500176	2.261478200	132.0			
T	41.572534753	2.261581590	131.9			
T	41.572573480	2.261695605	131.3			
T	41.572601646	2.261768479	130.4			
T	41.572635207	2.261838941	129.9			
T	41.572670962	2.261912683	129.9			
T	41.572707419	2.261960735	130.4			
T	41.572749488	2.262006932	131.3			
T	41.572784729	2.262034955	132.0			
T	41.572821301	2.262053656	131.8			
T	41.572851913	2.262070337	131.7			
T	41.572879135	2.262082646	131.6			
T	41.572918987	2.262090739	131.5			
T	41.572960069	2.262087171	131.3			
T	41.573000208	2.262081892	131.2			
T	41.573029696	2.262070703	131.1			
T	41.573061240	2.262056056	131.0			
T	41.573094693	2.262036723	131.0			
T	41.573118068	2.262012891	131.0			
T	41.573138873	2.261986252	131.0			
T	41.573159669	2.261958838	131.0			
T	41.573190646	2.261931007	131.0			
T	41.573208159	2.261893406	131.1			
T	41.573231596	2.261856081	131.1			
T	41.573253296	2.261833140	131.1			
T	41.573264550	2.261808523	131.1			
T	41.573284147	2.261775613	131.1			
T	41.573302248	2.261741440	131.1			
T	41.573318879	2.261714013	131.0			
T	41.573327049	2.261684602	131.0			
T	41.573337355	2.261650484	131.1			
T	41.573350664	2.261617614	131.2			
T	41.573365506	2.261576037	131.4			
T	41.573377284	2.261535673	131.6			
T	41.573385905	2.261483736	131.7			
T	41.573397794	2.261436771	131.9			
T	41.573408327	2.261390927	132.0			
T	41.573423272	2.261344757	132.2			
T	41.573432093	2.261282741	132.4			
T	41.573441285	2.261219976	132.6			
T	41.573446343	2.261173910	132.8			
T	41.573447209	2.261104720	133.0			
T	41.573441711	2.261040668	133.0			
T	41.573441344	2.260983008	133.0			
T	41.573437866	2.260924458	133.0			
T	41.573435319	2.260870769	133.0			
T	41.573427012	2.260806540	133.1			
T	41.573410469	2.260735578	133.4			
T	41.573393416	2.260674644	133.6			
T	41.573381318	2.260618271	133.8			
T	41.573360153	2.260556794	134.0			
T	41.573327753	2.260467978	134.3			
T	41.573293934	2.260391806	134.7			
T	41.573255280	2.260321465	135.1			
T	41.573208804	2.260238618	135.5			
T	41.573157125	2.260153560	135.8			
T	41.573103671	2.260072571	136.0			
T	41.573065234	2.260010644	136.0			
T	41.573037925	2.259958483	136.2			
T	41.573009667	2.259904073	136.5			
T	41.572991980	2.259867355	136.7			
T	41.572972051	2.259816003	137.0			
T	41.572956386	2.259750897	137.3			
T	41.572946522	2.259676627	137.6			
T	41.572934986	2.259604734	137.9			
T	41.572929292	2.259543437	138.1			
T	41.572933396	2.259470330	138.3			
T	41.572941859	2.259412055	138.6			
T	41.572957425	2.259372990	138.8			
T	41.572959247	2.259307509	139.2			
T	41.572976936	2.259272706	139.3			
T	41.573003691	2.259227040	139.6			
T	41.573024161	2.259178088	139.9			
T	41.573044947	2.259137426	140.1			
T	41.573077509	2.259105855	140.2			
T	41.573103290	2.259078253	140.3			
T	41.573140071	2.259049736	140.4			
T	41.573173202	2.259027684	140.5			
T	41.573199233	2.258997676	140.6			
T	41.573230004	2.258984784	140.7			
T	41.573257528	2.258970119	140.7			
T	41.573283086	2.258953001	140.8			
T	41.573313999	2.258957380	140.8			
T	41.573349663	2.258944827	140.9			
T	41.573399114	2.258945602	141.0			
T	41.573444843	2.258949700	141.2			
