type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.566891412	2.252832688	129.1			
T	41.566910962	2.252848365	129.1			
T	41.566930718	2.252866154	129.0			
T	41.566951463	2.252883508	129.0			
T	41.566982727	2.252909459	129.1			
T	41.567011396	2.252932496	129.2			
T	41.567042680	2.252958872	129.4			
T	41.567065422	2.252981200	129.4			
T	41.567098491	2.253003748	129.6			
T	41.567119110	2.253022456	129.6			
T	41.567142594	2.253041509	129.7			
T	41.567167404	2.253063211	129.8			
T	41.567208732	2.253097206	130.0			
T	41.567236155	2.253123153	130.0			
T	41.567266304	2.253146914	130.0			
T	41.567292033	2.253168427	130.0			
T	41.567326569	2.253199310	130.0			
T	41.567351126	2.253218699	130.0			
T	41.567376992	2.253237054	130.0			
T	41.567399657	2.253256488	130.0			
T	41.567420701	2.253277353	130.0			
T	41.567446117	2.253296723	130.0			
T	41.567486875	2.253330765	130.0			
T	41.567513923	2.253352053	130.1			
T	41.567545363	2.253377076	130.2			
T	41.567572334	2.253401796	130.3			
T	41.567596593	2.253425346	130.3			
T	41.567620866	2.253442510	130.4			
T	41.567639801	2.253458117	130.5			
T	41.567659102	2.253474268	130.6			
T	41.567676156	2.253490140	130.6			
T	41.567693178	2.253506023	130.7			
T	41.567710539	2.253519655	130.8			
T	41.567728052	2.253532679	130.8			
T	41.567739412	2.253544358	130.9			
T	41.567755651	2.253556079	130.9			
T	41.567769216	2.253568203	131.0			
T	41.567938707	2.253712324	131.0			
T	41.567963096	2.253731189	131.0			
T	41.567991526	2.253756653	131.0			
T	41.568013678	2.253773321	131.0			
T	41.568037008	2.253795205	131.0			
T	41.568058276	2.253811378	131.0			
T	41.568080965	2.253832763	131.1			
T	41.568109695	2.253857210	131.3			
T	41.568135369	2.253877282	131.3			
T	41.568159920	2.253899851	131.4			
T	41.568191554	2.253924195	131.6			
T	41.568210582	2.253938520	131.6			
T	41.568231451	2.253954794	131.7			
T	41.568255157	2.253975483	131.8			
T	41.568277619	2.253998909	131.9			
T	41.568302100	2.254025461	131.9			
T	41.568323167	2.254048539	132.0			
T	41.568338722	2.254069595	132.0			
T	41.568351165	2.254091251	132.1			
T	41.568367328	2.254114916	132.1			
T	41.568382305	2.254141712	132.2			
T	41.568397333	2.254168942	132.2			
T	41.568411352	2.254194606	132.3			
T	41.568418248	2.254212903	132.3			
T	41.568428534	2.254237361	132.3			
T	41.568436233	2.254257568	132.4			
T	41.568440553	2.254271192	132.4			
T	41.568449842	2.254291519	132.4			
T	41.568457469	2.254315740	132.4			
T	41.568464106	2.254347484	132.5			
T	41.568467541	2.254367880	132.5			
T	41.568473103	2.254389725	132.5			
T	41.568475259	2.254406445	132.5			
T	41.568476753	2.254425311	132.5			
T	41.568478038	2.254436162	132.5			
T	41.568482018	2.254450581	132.5			
T	41.568488006	2.254471357	132.6			
T	41.568489075	2.254481421	132.6			
T	41.568489528	2.254504728	132.6			
T	41.568489586	2.254525137	132.6			
T	41.568491172	2.254544142	132.6			
T	41.568488135	2.254560313	132.6			
T	41.568490303	2.254588271	132.6			
T	41.568487358	2.254613585	132.6			
T	41.568487474	2.254639293	132.6			
T	41.568484314	2.254660344	132.5			
T	41.568483896	2.254692336	132.5			
T	41.568480680	2.254723394	132.5			
T	41.568474318	2.254750775	132.6			
T	41.568468209	2.254778830	132.7			
T	41.568462029	2.254811408	132.8			
T	41.568453978	2.254837215	132.8			
T	41.568447657	2.254860406	132.9			
T	41.568440892	2.254879697	133.0			
T	41.568430600	2.254906724	133.0			
T	41.568420914	2.254933315	133.1			
T	41.568406572	2.254961395	133.1			
T	41.568391678	2.254987741	133.2			
T	41.568377800	2.255024328	133.2			
T	41.568363689	2.255051212	133.3			
T	41.568350284	2.255069056	133.3			
T	41.568334063	2.255085037	133.3			
T	41.568321834	2.255112602	133.4			
T	41.568307298	2.255133298	133.4			
T	41.568289641	2.255161460	133.5			
T	41.568276162	2.255177742	133.5			
T	41.568257297	2.255201462	133.5			
T	41.568239588	2.255216686	133.5			
T	41.568228061	2.255236772	133.5			
T	41.568209934	2.255245552	133.5			
T	41.568192008	2.255267054	133.5			
T	41.568164786	2.255282117	133.4			
T	41.568150180	2.255299332	133.4			
T	41.568124534	2.255318295	133.4			
T	41.568104248	2.255332751	133.3			
T	41.568079145	2.255348836	133.3			
T	41.568057907	2.255363004	133.3			
T	41.568037151	2.255379122	133.4			
T	41.568012934	2.255386957	133.4			
T	41.567983926	2.255398047	133.4			
T	41.567964558	2.255402410	133.4			
T	41.567945742	2.255413379	133.5			
T	41.567925682	2.255415381	133.5			
T	41.567905923	2.255423275	133.5			
T	41.567886548	2.255424687	133.5			
T	41.567869406	2.255434683	133.6			
T	41.567842307	2.255439388	133.6			
T	41.567819185	2.255437920	133.6			
T	41.567790650	2.255440736	133.6			
T	41.567760894	2.255448886	133.6			
T	41.567738546	2.255449774	133.6			
T	41.567709161	2.255452282	133.6			
T	41.567673653	2.255452583	133.6			
T	41.567652906	2.255455977	133.6			
T	41.567621994	2.255453019	133.6			
T	41.567600650	2.255450684	133.6			
T	41.567568775	2.255447454	133.6			
T	41.567535399	2.255439253	133.6			
T	41.567502796	2.255433616	133.6			
T	41.567467810	2.255422491	133.5			
T	41.567433393	2.255412172	133.5			
T	41.567391226	2.255400940	133.4			
T	41.567351884	2.255377202	133.4			
T	41.567292909	2.255359187	133.3			
T	41.567257672	2.255332798	133.2			
T	41.567216905	2.255318909	133.1			
T	41.567188475	2.255301407	133.1			
T	41.567149958	2.255270695	133.0			
T	41.567097799	2.255232352	133.0			
T	41.567070650	2.255208568	133.0			
T	41.567048406	2.255186751	133.0			
T	41.567025599	2.255167731	133.0			
T	41.567000706	2.255149898	133.0			
T	41.566973230	2.255126533	133.0			
T	41.566947142	2.255104553	133.0			
T	41.566916769	2.255079581	132.9			
T	41.566892328	2.255059000	132.8			
T	41.566866296	2.255038286	132.7			
T	41.566838787	2.255011851	132.6			
T	41.566807832	2.254983818	132.5			
T	41.566761800	2.254952631	132.3			
T	41.566746181	2.254935056	132.3			
T	41.566725010	2.254914781	132.2			
T	41.566699330	2.254892937	132.1			
T	41.566671205	2.254868279	132.0			
T	41.566646365	2.254850296	131.9			
T	41.566623735	2.254827728	131.8			
T	41.566598930	2.254807771	131.8			
T	41.566571492	2.254784178	131.7			
T	41.566542178	2.254763121	131.6			
T	41.566514137	2.254741134	131.5			
T	41.566483976	2.254711081	131.4			
T	41.566453047	2.254685472	131.3			
T	41.566420001	2.254655106	131.2			
T	41.566384924	2.254628931	131.0			
T	41.566346905	2.254591889	130.9			
T	41.566295779	2.254551222	130.9			
T	41.566243980	2.254508561	130.9			
T	41.566199524	2.254470801	130.9			
T	41.566157805	2.254430760	131.0			
T	41.566081178	2.254366400	130.7			
T	41.566039992	2.254338494	130.3			
T	41.566016258	2.254313971	130.1			
T	41.565989335	2.254293193	129.9			
T	41.565964732	2.254271944	129.7			
T	41.565936444	2.254246289	129.6			
T	41.565912696	2.254225822	129.4			
T	41.565885790	2.254203561	129.3			
T	41.565864433	2.254183600	129.2			
T	41.565831206	2.254158871	129.0			
T	41.565803893	2.254132798	128.9			
T	41.565778344	2.254112345	128.8			
T	41.565756708	2.254094983	128.7			
T	41.565729045	2.254077123	128.6			
T	41.565704172	2.254063294	128.4			
T	41.565678234	2.254053151	128.3			
T	41.565647300	2.254050577	128.1			
T	41.565626199	2.254048093	127.9			
T	41.565625585	2.254047724	127.9			
T	41.565615110	2.254043951	127.9			
T	41.565599413	2.254049855	127.7			
T	41.565589120	2.254050267	127.7			
