latitude,longitude,altitude (m)
45.63016492,9.290004285,0
45.63016543,9.290054482,0
45.63016751,9.290107445,0
45.63017238,9.290157713,0
45.63017239,9.290218074,0
45.63017427,9.290278981,0
45.6301781,9.290345373,0
45.63017926,9.290407845,0
45.63018118,9.290479703,0
45.63018701,9.290546583,0
45.63018768,9.290610711,0
45.63019084,9.290680122,0
45.63019433,9.290732329,0
45.630195,9.290766413,0
45.63019738,9.290800001,0
45.63019729,9.29083362,0
45.63019735,9.290866363,0
45.63019835,9.290897263,0
45.63019927,9.290925802,0
45.63020122,9.290955071,0
45.63020378,9.290984427,0
45.63020188,9.291007691,0
45.63020462,9.29103473,0
45.63020471,9.291057856,0
45.63020471,9.291076858,0
45.63020473,9.291101644,0
45.63020674,9.291123238,0
45.63020877,9.291141617,0
45.63020819,9.29115984,0
45.63020938,9.291174467,0
45.63020956,9.291189894,0
45.63020955,9.29120581,0
45.63020999,9.291220625,0
45.63021088,9.291236795,0
45.63021084,9.291255179,0
45.63021248,9.291269304,0
45.63021458,9.29128247,0
45.63021979,9.291293313,0
45.63022415,9.291309454,0
45.63022818,9.291322398,0
45.63023588,9.291336755,0
45.63024168,9.291352659,0
45.63024865,9.291367325,0
45.63026142,9.291380252,0
45.63027261,9.291396432,0
45.63028278,9.291408228,0
45.63029387,9.291421589,0
45.63031,9.291433125,0
45.63032626,9.291440297,0
45.63033855,9.291444933,0
45.63035161,9.291450598,0
45.63036429,9.291456044,0
45.63037768,9.291462249,0
45.63039182,9.291468821,0
45.63040639,9.29147632,0
45.63042069,9.291483002,0
45.63043447,9.291489763,0
45.63045725,9.291498753,0
45.6304723,9.291504993,0
45.63048756,9.291511829,0
45.63049939,9.291516963,0
45.63051052,9.291524621,0
45.6305201,9.291530743,0
45.63053009,9.291537997,0
45.63053805,9.291544557,0
45.6305452,9.291551531,0
45.63055299,9.291559726,0
45.6305615,9.291570022,0
45.6305695,9.29158107,0
45.630578,9.291593657,0
45.63058483,9.291607807,0
45.63059317,9.291623319,0
45.63060025,9.29164491,0
45.63060572,9.291665303,0
45.63060841,9.291683502,0
45.63061151,9.291700114,0
45.63061309,9.291717953,0
45.63061567,9.291738974,0
45.63061864,9.291761567,0
45.63062436,9.291779696,0
45.63062673,9.291797518,0
45.63062948,9.291817072,0
45.63063179,9.291836614,0
