type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.629917702	9.286819342	190.7			
T	45.629914082	9.286874923	190.8			
T	45.629921271	9.286967237	191.0			
T	45.629925636	9.287047894	191.0			
T	45.629930012	9.287123774	191.0			
T	45.629934132	9.287202553	191.0			
T	45.629944646	9.287344858	190.9			
T	45.629949345	9.287473808	190.8			
T	45.629955633	9.287561222	190.8			
T	45.629960674	9.287676743	190.9			
T	45.629967733	9.287805659	190.9			
T	45.629974719	9.287920575	190.9			
T	45.629988166	9.288059309	191.0			
T	45.629987910	9.288162896	191.0			
T	45.629997099	9.288278227	191.0			
T	45.630003830	9.288365657	191.0			
T	45.630005793	9.288438614	191.0			
T	45.630014836	9.288589614	191.1			
T	45.630017918	9.288669515	191.1			
T	45.630023040	9.288754664	191.1			
T	45.630029884	9.288832384	191.1			
T	45.630031384	9.288899987	191.1			
T	45.630033130	9.288971028	191.1			
T	45.630037311	9.289038064	191.1			
T	45.630040920	9.289129824	191.1			
T	45.630047117	9.289221870	191.1			
T	45.630053450	9.289334945	191.1			
T	45.630056534	9.289416144	191.0			
T	45.630057228	9.289485672	191.0			
T	45.630061264	9.289584776	191.1			
T	45.630066030	9.289668702	191.2			
T	45.630067732	9.289730908	191.2			
T	45.630071370	9.289811689	191.2			
T	45.630071377	9.289887661	191.1			
T	45.630075642	9.289968991	191.0			
T	45.630076698	9.290049980	191.0			
T	45.630083821	9.290123126	191.0			
T	45.630086531	9.290222843	191.0			
T	45.630087808	9.290311922	191.0			
T	45.630092119	9.290388396	191.0			
T	45.630094403	9.290445602	191.0			
T	45.630098111	9.290510575	191.0			
T	45.630098426	9.290571586	191.0			
T	45.630097935	9.290644298	191.0			
T	45.630102640	9.290686349	191.0			
T	45.630105868	9.290735301	191.0			
T	45.630109474	9.290774023	191.0			
T	45.630106364	9.290816790	191.0			
T	45.630107254	9.290860485	191.0			
T	45.630108580	9.290902279	191.0			
T	45.630112275	9.290941952	191.0			
T	45.630113031	9.290990138	191.0			
T	45.630113142	9.291048893	191.0			
T	45.630115239	9.291102928	191.0			
T	45.630119718	9.291146220	191.0			
